index,formula
CI,(nir/reg)-1
DVI,nir-red
GNDVI,(nir-gre)/(nir+gre)
GRVI,(gre-red)/(gre+red)
MCARI,((reg-red)-0.2*(reg-gre))*(reg/red)
MNVI,(1.5*(nir^2-red))/(nir^2+red+0.5)
MSR,(nir/red-1)/(sqrt(nir/red)+1)
MTCI,(nir-reg)/(reg-red)
NDVI1,(nir-red)/(nir+red)
NDVI2,(nir-reg)/(nir+reg)
NLI,(nir^2-red)/(nir^2+red)
OSAVI,1.16*(nir-red)/(nir+red+0.16)
RDVI,(nir-red)/(sqrt(nir+red))
RVI1,nir/red
RVI2,nir/gre
SAVI,1.5*(nir-red)/(nir+red+0.5)
TO,3*((reg-red)-0.2*(reg-gre)*(reg/red))/(1.16*(nir-red)/(nir+red+0.16))
TVI,60*(nir-gre)-100*(red-gre)
